"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Consumer Confidence Survey – Indices","01-Feb-2025","TS_GP_RL_CCSIND_M.CCI",". Consumer Confidence Index","40.262421","Diffusion Index","Normal","","10","Consumer Confidence Index"
"Consumer Confidence Survey – Indices","01-Feb-2025","TS_GP_RL_CCSIND_M.CCI_R","....... By Area - Rural","40.71367","Diffusion Index","Normal","","20","Consumer Confidence Index - Rural"
"Consumer Confidence Survey – Indices","01-Feb-2025","TS_GP_RL_CCSIND_M.CCI_U","............. - Urban","40.12939","Diffusion Index","Normal","","30","Consumer Confidence Index - Urban"
"Consumer Confidence Survey – Indices","01-Feb-2025","TS_GP_RL_CCSIND_M.CCI_M","....... By Gender - Male","42.13792","Diffusion Index","Normal","","40","Consumer Confidence Index - Male"
"Consumer Confidence Survey – Indices","01-Feb-2025","TS_GP_RL_CCSIND_M.CCI_F","............. - Female","37.98376","Diffusion Index","Normal","","50","Consumer Confidence Index - Female"
"Consumer Confidence Survey – Indices","01-Feb-2025","TS_GP_RL_CCSIND_M.CCI_E1","....... By Education Level - below Matriculation","36.72685","Diffusion Index","Normal","","60","Consumer Confidence Index - Education below Matriculation"
"Consumer Confidence Survey – Indices","01-Feb-2025","TS_GP_RL_CCSIND_M.CCI_E2","............. - Matric or Intermediate","40.73897","Diffusion Index","Normal","","70","Consumer Confidence Index - Education Matric or Intermediate"
"Consumer Confidence Survey – Indices","01-Feb-2025","TS_GP_RL_CCSIND_M.CCI_E3","............. - Graduate or higher","40.75992","Diffusion Index","Normal","","80","Consumer Confidence Index - Education Graduate or higher"
"Consumer Confidence Survey – Indices","01-Feb-2025","TS_GP_RL_CCSIND_M.CCI_P1","....... By Profession - Employee","40.97159","Diffusion Index","Normal","","90","Consumer Confidence Index - Profession - employee"
"Consumer Confidence Survey – Indices","01-Feb-2025","TS_GP_RL_CCSIND_M.CCI_P2","............. - Business (services)","35.59086","Diffusion Index","Normal","","100","Consumer Confidence Index - Profession - business (services)"
"Consumer Confidence Survey – Indices","01-Feb-2025","TS_GP_RL_CCSIND_M.CCI_P3","............. - Business (industry)","45.93725","Diffusion Index","Normal","","110","Consumer Confidence Index - Profession - business (industry)"
