"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Apr-2025",".3","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Mar-2025",".7","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","28-Feb-2025","1.5","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Jan-2025","2.4","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Dec-2024","4.1","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Nov-2024","4.9","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Oct-2024","7.2","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Sep-2024","6.9","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Aug-2024","9.6","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Jul-2024","11.1","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Jun-2024","12.6","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-May-2024","11.8","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Apr-2024","17.3","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Mar-2024","20.7","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","29-Feb-2024","23.1","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Jan-2024","28.3","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Dec-2023","29.7","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Nov-2023","29.2","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Oct-2023","26.8","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Sep-2023","31.4","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Aug-2023","27.4","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Jul-2023","28.3","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Jun-2023","29.4","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-May-2023","38","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Apr-2023","36.4","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Mar-2023","35.4","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","28-Feb-2023","31.5","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Jan-2023","27.6","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Dec-2022","24.5","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Nov-2022","23.8","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Oct-2022","26.6","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Sep-2022","23.2","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Aug-2022","27.3","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Jul-2022","24.9","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Jun-2022","21.3","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-May-2022","13.8","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Apr-2022","13.37790337","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Mar-2022","12.7","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","28-Feb-2022","12.24404221","Percent","Normal",""
