"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Export and Import of Goods and Services","31-Mar-2025","TS_GP_BOP_XMGS_M.P00010",". Goods and Services Balance (A-B)","-2407","Million USD","Normal","","10","Goods and Services Balance"
"Export and Import of Goods and Services","31-Mar-2025","TS_GP_BOP_XMGS_M.P00020","1 Goods - Export (FOB)","2768","Million USD","Normal","","20","Goods - Export (FOB)"
"Export and Import of Goods and Services","31-Mar-2025","TS_GP_BOP_XMGS_M.P00030","2 Exports of Services","744","Million USD","Normal","","30","Exports of Services-Total"
"Export and Import of Goods and Services","31-Mar-2025","TS_GP_BOP_XMGS_M.P00040","......1 Manufacturing Services on Physical inputs owned by Others","0","Million USD","Normal","","40","Exports of Services-Manufacturing Services on Physical inputs owned by Others"
"Export and Import of Goods and Services","31-Mar-2025","TS_GP_BOP_XMGS_M.P00050","......2 Maintenance and Repair Services n.i.e.","0","Million USD","Normal","","50","Exports of Services-Maintenance and Repair Services n.i.e."
"Export and Import of Goods and Services","31-Mar-2025","TS_GP_BOP_XMGS_M.P00060","......3 Transport","92","Million USD","Normal","","60","Exports of Services-Transport"
"Export and Import of Goods and Services","31-Mar-2025","TS_GP_BOP_XMGS_M.P00070","......4 Travel","53","Million USD","Normal","","70","Exports of Services-Travel"
"Export and Import of Goods and Services","31-Mar-2025","TS_GP_BOP_XMGS_M.P00080","......5 Construction","3","Million USD","Normal","","80","Exports of Services-Construction"
"Export and Import of Goods and Services","31-Mar-2025","TS_GP_BOP_XMGS_M.P00090","......6 Insurance and Pension Services","9","Million USD","Normal","","90","Exports of Services-Insurance and Pension Services"
"Export and Import of Goods and Services","31-Mar-2025","TS_GP_BOP_XMGS_M.P00100","......7 Financial Services","4","Million USD","Normal","","100","Exports of Services-Financial Services"
"Export and Import of Goods and Services","31-Mar-2025","TS_GP_BOP_XMGS_M.P00110","......8 Charges for the use of Intellectual Property n.i.e.","1","Million USD","Normal","","110","Exports of Services-Charges for the use of Intellectual Property n.i.e."
"Export and Import of Goods and Services","31-Mar-2025","TS_GP_BOP_XMGS_M.P00120","......9 Telecommunications, Computer, and Information Services","342","Million USD","Normal","","120","Exports of Services-Telecommunications, Computer, and Information Services"
"Export and Import of Goods and Services","31-Mar-2025","TS_GP_BOP_XMGS_M.P00130","......10 Other Business Services","155","Million USD","Normal","","130","Exports of Services-Other Business Services"
"Export and Import of Goods and Services","31-Mar-2025","TS_GP_BOP_XMGS_M.P00140","......11 Personal, Cultural, and Recreational Services","4","Million USD","Normal","","140","Exports of Services-Personal, Cultural, and Recreational Services"
"Export and Import of Goods and Services","31-Mar-2025","TS_GP_BOP_XMGS_M.P00150","......12 Government Goods and Services n.i.e.","81","Million USD","Normal","","150","Exports of Services-Government Goods and Services n.i.e."
