"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","06-May-2025","11","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","28-Jan-2025","12","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","17-Dec-2024","13","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","05-Nov-2024","15","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","13-Sep-2024","17.5","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","30-Jul-2024","19.5","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","11-Jun-2024","20.5","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","27-Jun-2023","22","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","05-Apr-2023","21","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","03-Mar-2023","20","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","24-Jan-2023","17","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","28-Nov-2022","16","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","13-Jul-2022","15","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","24-May-2022","13.75","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","08-Apr-2022","12.25","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","15-Dec-2021","9.75","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","22-Nov-2021","8.75","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","21-Sep-2021","7.25","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","26-Jun-2020","7","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","18-May-2020","8","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","16-May-2020","8","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","17-Apr-2020","9","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","16-Apr-2020","9","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","25-Mar-2020","11","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","18-Mar-2020","12.5","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","17-Jul-2019","13.25","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","21-May-2019","12.25","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","01-Apr-2019","10.75","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","01-Feb-2019","10.25","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","03-Dec-2018","10","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","01-Oct-2018","8.5","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","16-Jul-2018","7.5","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","28-May-2018","6.5","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","29-Jan-2018","6","Percent","Normal",""
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","TS_GP_IR_SIRPR_AH.SBPOL0030","SBP Policy (Target) Rate","23-May-2016","5.75","Percent","Normal",""
