"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Gross Domestic Product of Pakistan at constant basic prices of 2005-06","30-Jun-2021","TS_GP_GA_FISPAKGDP_Y.GDP00060000","A. Growth Rate of Real Gross Domestic Product","3.94","Percent","Normal","","100","Growth Rate of Real Gross Domestic Product"
"Gross Domestic Product of Pakistan at constant basic prices of 2005-06","30-Jun-2021","TS_GP_GA_FISPAKGDP_Y.GDP00050000","B. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2005-06)): (1+2)","13036381","Million PKR","Normal","","200","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2005-06))"
"Gross Domestic Product of Pakistan at constant basic prices of 2005-06","30-Jun-2021","TS_GP_GA_FISPAKGDP_Y.GDP00010000","......1. Commodity Producing Sector (a+b)","4995212","Million PKR","Normal","","300","Commodity Producing Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2005-06","30-Jun-2021","TS_GP_GA_FISPAKGDP_Y.GDP00020000","............a. Agricultural Sector","2502181","Million PKR","Normal","","400","Agricultural Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2005-06","30-Jun-2021","TS_GP_GA_FISPAKGDP_Y.GDP00030000","............b. Industrial Sector","2493031","Million PKR","Normal","","500","Industrial Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2005-06","30-Jun-2021","TS_GP_GA_FISPAKGDP_Y.GDP00040000","......2. Services Sector","8041169","Million PKR","Normal","","600","Services Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2005-06","30-Jun-2020","TS_GP_GA_FISPAKGDP_Y.GDP00060000","A. Growth Rate of Real Gross Domestic Product","-.47","Percent","Normal","","100","Growth Rate of Real Gross Domestic Product"
"Gross Domestic Product of Pakistan at constant basic prices of 2005-06","30-Jun-2020","TS_GP_GA_FISPAKGDP_Y.GDP00050000","B. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2005-06)): (1+2)","12531790","Million PKR","Normal","","200","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2005-06))"
"Gross Domestic Product of Pakistan at constant basic prices of 2005-06","30-Jun-2020","TS_GP_GA_FISPAKGDP_Y.GDP00010000","......1. Commodity Producing Sector (a+b)","4841943","Million PKR","Normal","","300","Commodity Producing Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2005-06","30-Jun-2020","TS_GP_GA_FISPAKGDP_Y.GDP00020000","............a. Agricultural Sector","2434850","Million PKR","Normal","","400","Agricultural Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2005-06","30-Jun-2020","TS_GP_GA_FISPAKGDP_Y.GDP00030000","............b. Industrial Sector","2407093","Million PKR","Normal","","500","Industrial Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2005-06","30-Jun-2020","TS_GP_GA_FISPAKGDP_Y.GDP00040000","......2. Services Sector","7699891","Million PKR","Normal","","600","Services Sector"
"Gross Domestic Product of Pakistan at constant basic prices of 2005-06","30-Jun-2019","TS_GP_GA_FISPAKGDP_Y.GDP00060000","A. Growth Rate of Real Gross Domestic Product","2.08","Percent","Normal","","100","Growth Rate of Real Gross Domestic Product"
"Gross Domestic Product of Pakistan at constant basic prices of 2005-06","30-Jun-2019","TS_GP_GA_FISPAKGDP_Y.GDP00050000","B. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2005-06)): (1+2)","12580174","Million PKR","Normal","","200","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2005-06))"
