"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Dec-2024","TS_GP_RS_QGDP1516_Q.QGDP00070000","A. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))","10135261","Million PKR","Normal","","100","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Dec-2024","TS_GP_RS_QGDP1516_Q.QGDP00080000","B. Growth Rate of Gross Domestic Product (Total of Gross Value Addition at Constant Factor Cost(2015-16))","1.73","Percent","Normal","","200","Growth Rate of Real Gross Domestic Product"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Dec-2024","TS_GP_RS_QGDP1516_Q.QGDP00010000","......I(a). Agricultural Sector","2390415","Million PKR","Normal","","300","Agricultural Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Dec-2024","TS_GP_RS_QGDP1516_Q.QGDP00020000","......I(b). Growth Rate of Agriculture Sector","1.1","Percent","Normal","","400","Growth Rate of Agriculture Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Dec-2024","TS_GP_RS_QGDP1516_Q.QGDP00030000","......II(a). Industrial Sector","1760040","Million PKR","Normal","","500","Industrial Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Dec-2024","TS_GP_RS_QGDP1516_Q.QGDP00040000","......II(b). Growth Rate of Industrial Sector","-.18","Percent","Normal","","600","Growth Rate of Industry Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Dec-2024","TS_GP_RS_QGDP1516_Q.QGDP00050000","......III(a). Services Sector","5984805","Million PKR","Normal","","700","Services Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Dec-2024","TS_GP_RS_QGDP1516_Q.QGDP00060000","......III(b). Growth Rate of Services Sector","2.57","Percent","Normal","","800","Growth Rate of Services Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Sep-2024","TS_GP_RS_QGDP1516_Q.QGDP00070000","A. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))","10037291","Million PKR","Normal","","100","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Sep-2024","TS_GP_RS_QGDP1516_Q.QGDP00080000","B. Growth Rate of Gross Domestic Product (Total of Gross Value Addition at Constant Factor Cost(2015-16))","1.34","Percent","Normal","","200","Growth Rate of Real Gross Domestic Product"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Sep-2024","TS_GP_RS_QGDP1516_Q.QGDP00010000","......I(a). Agricultural Sector","2461422","Million PKR","Normal","","300","Agricultural Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Sep-2024","TS_GP_RS_QGDP1516_Q.QGDP00020000","......I(b). Growth Rate of Agriculture Sector",".74","Percent","Normal","","400","Growth Rate of Agriculture Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Sep-2024","TS_GP_RS_QGDP1516_Q.QGDP00030000","......II(a). Industrial Sector","1728070","Million PKR","Normal","","500","Industrial Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Sep-2024","TS_GP_RS_QGDP1516_Q.QGDP00040000","......II(b). Growth Rate of Industrial Sector","-.66","Percent","Normal","","600","Growth Rate of Industry Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Sep-2024","TS_GP_RS_QGDP1516_Q.QGDP00050000","......III(a). Services Sector","5847799","Million PKR","Normal","","700","Services Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Sep-2024","TS_GP_RS_QGDP1516_Q.QGDP00060000","......III(b). Growth Rate of Services Sector","2.21","Percent","Normal","","800","Growth Rate of Services Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2024","TS_GP_RS_QGDP1516_Q.QGDP00070000","A. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))","9838989","Million PKR","Normal","","100","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2024","TS_GP_RS_QGDP1516_Q.QGDP00080000","B. Growth Rate of Gross Domestic Product (Total of Gross Value Addition at Constant Factor Cost(2015-16))","3.31","Percent","Normal","","200","Growth Rate of Real Gross Domestic Product"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2024","TS_GP_RS_QGDP1516_Q.QGDP00010000","......I(a). Agricultural Sector","2385488","Million PKR","Normal","","300","Agricultural Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2024","TS_GP_RS_QGDP1516_Q.QGDP00020000","......I(b). Growth Rate of Agriculture Sector","7.06","Percent","Normal","","400","Growth Rate of Agriculture Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2024","TS_GP_RS_QGDP1516_Q.QGDP00030000","......II(a). Industrial Sector","1693194","Million PKR","Normal","","500","Industrial Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2024","TS_GP_RS_QGDP1516_Q.QGDP00040000","......II(b). Growth Rate of Industrial Sector","-3.07","Percent","Normal","","600","Growth Rate of Industry Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2024","TS_GP_RS_QGDP1516_Q.QGDP00050000","......III(a). Services Sector","5760306","Million PKR","Normal","","700","Services Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2024","TS_GP_RS_QGDP1516_Q.QGDP00060000","......III(b). Growth Rate of Services Sector","3.81","Percent","Normal","","800","Growth Rate of Services Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Mar-2024","TS_GP_RS_QGDP1516_Q.QGDP00070000","A. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))","10038733","Million PKR","Normal","","100","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Mar-2024","TS_GP_RS_QGDP1516_Q.QGDP00080000","B. Growth Rate of Gross Domestic Product (Total of Gross Value Addition at Constant Factor Cost(2015-16))","2.66","Percent","Normal","","200","Growth Rate of Real Gross Domestic Product"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Mar-2024","TS_GP_RS_QGDP1516_Q.QGDP00010000","......I(a). Agricultural Sector","2338238","Million PKR","Normal","","300","Agricultural Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Mar-2024","TS_GP_RS_QGDP1516_Q.QGDP00020000","......I(b). Growth Rate of Agriculture Sector","3.76","Percent","Normal","","400","Growth Rate of Agriculture Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Mar-2024","TS_GP_RS_QGDP1516_Q.QGDP00030000","......II(a). Industrial Sector","1829794","Million PKR","Normal","","500","Industrial Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Mar-2024","TS_GP_RS_QGDP1516_Q.QGDP00040000","......II(b). Growth Rate of Industrial Sector","3.34","Percent","Normal","","600","Growth Rate of Industry Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Mar-2024","TS_GP_RS_QGDP1516_Q.QGDP00050000","......III(a). Services Sector","5870701","Million PKR","Normal","","700","Services Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Mar-2024","TS_GP_RS_QGDP1516_Q.QGDP00060000","......III(b). Growth Rate of Services Sector","2.01","Percent","Normal","","800","Growth Rate of Services Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Dec-2023","TS_GP_RS_QGDP1516_Q.QGDP00070000","A. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))","9962721","Million PKR","Normal","","100","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Dec-2023","TS_GP_RS_QGDP1516_Q.QGDP00080000","B. Growth Rate of Gross Domestic Product (Total of Gross Value Addition at Constant Factor Cost(2015-16))","1.77","Percent","Normal","","200","Growth Rate of Real Gross Domestic Product"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Dec-2023","TS_GP_RS_QGDP1516_Q.QGDP00010000","......I(a). Agricultural Sector","2364504","Million PKR","Normal","","300","Agricultural Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Dec-2023","TS_GP_RS_QGDP1516_Q.QGDP00020000","......I(b). Growth Rate of Agriculture Sector","5.82","Percent","Normal","","400","Growth Rate of Agriculture Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Dec-2023","TS_GP_RS_QGDP1516_Q.QGDP00030000","......II(a). Industrial Sector","1763295","Million PKR","Normal","","500","Industrial Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Dec-2023","TS_GP_RS_QGDP1516_Q.QGDP00040000","......II(b). Growth Rate of Industrial Sector","-1.81","Percent","Normal","","600","Growth Rate of Industry Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Dec-2023","TS_GP_RS_QGDP1516_Q.QGDP00050000","......III(a). Services Sector","5834923","Million PKR","Normal","","700","Services Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Dec-2023","TS_GP_RS_QGDP1516_Q.QGDP00060000","......III(b). Growth Rate of Services Sector","1.32","Percent","Normal","","800","Growth Rate of Services Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Sep-2023","TS_GP_RS_QGDP1516_Q.QGDP00070000","A. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))","9904172","Million PKR","Normal","","100","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Sep-2023","TS_GP_RS_QGDP1516_Q.QGDP00080000","B. Growth Rate of Gross Domestic Product (Total of Gross Value Addition at Constant Factor Cost(2015-16))","2.46","Percent","Normal","","200","Growth Rate of Real Gross Domestic Product"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Sep-2023","TS_GP_RS_QGDP1516_Q.QGDP00010000","......I(a). Agricultural Sector","2443298","Million PKR","Normal","","300","Agricultural Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Sep-2023","TS_GP_RS_QGDP1516_Q.QGDP00020000","......I(b). Growth Rate of Agriculture Sector","8.17","Percent","Normal","","400","Growth Rate of Agriculture Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Sep-2023","TS_GP_RS_QGDP1516_Q.QGDP00030000","......II(a). Industrial Sector","1739562","Million PKR","Normal","","500","Industrial Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Sep-2023","TS_GP_RS_QGDP1516_Q.QGDP00040000","......II(b). Growth Rate of Industrial Sector","-4.85","Percent","Normal","","600","Growth Rate of Industry Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Sep-2023","TS_GP_RS_QGDP1516_Q.QGDP00050000","......III(a). Services Sector","5721313","Million PKR","Normal","","700","Services Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Sep-2023","TS_GP_RS_QGDP1516_Q.QGDP00060000","......III(b). Growth Rate of Services Sector","2.54","Percent","Normal","","800","Growth Rate of Services Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2023","TS_GP_RS_QGDP1516_Q.QGDP00070000","A. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))","9523867","Million PKR","Normal","","100","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2023","TS_GP_RS_QGDP1516_Q.QGDP00080000","B. Growth Rate of Gross Domestic Product (Total of Gross Value Addition at Constant Factor Cost(2015-16))","-3.52","Percent","Normal","","200","Growth Rate of Real Gross Domestic Product"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2023","TS_GP_RS_QGDP1516_Q.QGDP00010000","......I(a). Agricultural Sector","2228246","Million PKR","Normal","","300","Agricultural Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2023","TS_GP_RS_QGDP1516_Q.QGDP00020000","......I(b). Growth Rate of Agriculture Sector","1.55","Percent","Normal","","400","Growth Rate of Agriculture Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2023","TS_GP_RS_QGDP1516_Q.QGDP00030000","......II(a). Industrial Sector","1746809","Million PKR","Normal","","500","Industrial Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2023","TS_GP_RS_QGDP1516_Q.QGDP00040000","......II(b). Growth Rate of Industrial Sector","-9.33","Percent","Normal","","600","Growth Rate of Industry Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2023","TS_GP_RS_QGDP1516_Q.QGDP00050000","......III(a). Services Sector","5548811","Million PKR","Normal","","700","Services Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","30-Jun-2023","TS_GP_RS_QGDP1516_Q.QGDP00060000","......III(b). Growth Rate of Services Sector","-3.51","Percent","Normal","","800","Growth Rate of Services Sector"
"Quarterly GDP at Constant Basic Prices of 2015-16","31-Mar-2023","TS_GP_RS_QGDP1516_Q.QGDP00070000","A. Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))","9778851","Million PKR","Normal","","100","Gross Domestic Product (Total of Gross Value Addition at Constant Basic Prices(2015-16))"
