"","s0"
"(Intercept)",14.2213518318892
"PKR_USD_Avg_YoY",0.220798218968013
"GovExp_YoY",0.374842541259601
"GovRev_YoY",0.168786890959552
"GovBorrow_YoY",0.180779739799529
"FDI_Total_YoY",-0.0467737945654943
"TP_Inflation_US_YoY",0.0398041284791532
"TP_Inflation_CN_YoY",-0.0223137516681695
"TP_Inflation_UK_YoY",0.155842759482529
"GDP_Q_YoY",-0.0419413737493143
"LSM_QIM_YoY",-0.0548514749388544
"PKR_USD_Avg_YoY_L1",0.229739422050422
"GovExp_YoY_L1",0.426700979720256
"GovRev_YoY_L1",0.162476838825242
"GovBorrow_YoY_L1",0.181570591162913
"FDI_Total_YoY_L1",-0.0646060068411912
"TP_Inflation_US_YoY_L1",0.0533260835439397
"TP_Inflation_CN_YoY_L1",0.0242959450078967
"TP_Inflation_UK_YoY_L1",0.176571357775815
"GDP_Q_YoY_L1",-0.0295580463583747
"LSM_QIM_YoY_L1",-0.0383456934100913
"Core_NFNE_L1",0.320797763708735
"Core_Trimmed_L1",0.341168643088684
"PKR_USD_Avg_YoY_L3",0.192418940949264
"GovExp_YoY_L3",0.473905655170572
"GovRev_YoY_L3",0.1501108310199
"GovBorrow_YoY_L3",0.19016204421795
"FDI_Total_YoY_L3",-0.0273553172810591
"TP_Inflation_US_YoY_L3",0.0791357507970259
"TP_Inflation_CN_YoY_L3",0.112913303974832
"TP_Inflation_UK_YoY_L3",0.217494666977914
"GDP_Q_YoY_L3",-0.0110879115298873
"LSM_QIM_YoY_L3",-0.016492947416766
"Core_NFNE_L3",0.306705257894894
"Core_Trimmed_L3",0.292294045325456
"PKR_USD_Avg_YoY_L6",0.177443416967403
"GovExp_YoY_L6",0.460807967046203
"GovRev_YoY_L6",0.136223711814272
"GovBorrow_YoY_L6",0.195030470105841
"FDI_Total_YoY_L6",-0.0671453663655752
"TP_Inflation_US_YoY_L6",0.145410925173771
"TP_Inflation_CN_YoY_L6",0.0610826500264862
"TP_Inflation_UK_YoY_L6",0.225678062928435
"GDP_Q_YoY_L6",0.00212214200781389
"LSM_QIM_YoY_L6",-0.0135851573188688
"Core_NFNE_L6",0.365430160355723
"Core_Trimmed_L6",0.340928097458428
"PKR_USD_Avg_YoY_L12",0.104112374990246
"GovExp_YoY_L12",0.282654874727527
"GovRev_YoY_L12",0.147056495301794
"GovBorrow_YoY_L12",0.0964523942472179
"FDI_Total_YoY_L12",-0.0732729885081704
"TP_Inflation_US_YoY_L12",0.188588221194043
"TP_Inflation_CN_YoY_L12",-0.20527620065687
"TP_Inflation_UK_YoY_L12",0.0620915402206149
"GDP_Q_YoY_L12",0.0305772801772962
"LSM_QIM_YoY_L12",0.0177955108769284
"Core_NFNE_L12",0.43027965122996
"Core_Trimmed_L12",0.37082073411871
"Core_NFNE",0.328073968276705
"Core_Trimmed",0.365304487908927
