"Date","Month","Year","ARIMA","ARIMA_Lower","ARIMA_Upper","Ridge"
2025-05-01,5,2025,29.2,27.7518604207557,30.6481395792443,18.0905354252149
2025-06-01,6,2025,29.2,27.1520213668235,31.2479786331765,18.0905354252149
2025-07-01,7,2025,29.2,26.6917486722975,31.7082513277025,18.0905354252149
2025-08-01,8,2025,29.2,26.3037208415114,32.0962791584886,18.0905354252149
2025-09-01,9,2025,29.2,25.9618614599018,32.4381385400982,18.0905354252149
2025-10-01,10,2025,29.2,25.6527969545228,32.7472030454772,18.0905354252149
2025-11-01,11,2025,29.2,25.3685828096099,33.0314171903901,18.0905354252149
2025-12-01,12,2025,29.2,25.1040427336469,33.2959572663531,18.0905354252149
2026-01-01,1,2026,29.2,24.8555812622672,33.5444187377328,18.0905354252149
2026-02-01,2,2026,29.2,24.6205805597502,33.7794194402498,18.0905354252149
2026-03-01,3,2026,29.2,24.3970643715836,34.0029356284164,18.0905354252149
2026-04-01,4,2026,29.2,24.183497344595,34.216502655405,18.0905354252149
