"","s0"
"(Intercept)",13.799221789293
"PKR_USD_Avg_YoY",0
"GovExp_YoY",0
"GovRev_YoY",0
"GovBorrow_YoY",0
"FDI_Total_YoY",0
"TP_Inflation_US_YoY",0
"TP_Inflation_CN_YoY",0
"TP_Inflation_UK_YoY",0
"GDP_Q_YoY",0
"LSM_QIM_YoY",0
"PKR_USD_Avg_YoY_L1",0
"GovExp_YoY_L1",1.53148939675089
"GovRev_YoY_L1",0.197114755813717
"GovBorrow_YoY_L1",0
"FDI_Total_YoY_L1",-0.0116081558962044
"TP_Inflation_US_YoY_L1",0
"TP_Inflation_CN_YoY_L1",0
"TP_Inflation_UK_YoY_L1",0
"GDP_Q_YoY_L1",0
"LSM_QIM_YoY_L1",0
"Core_NFNE_L1",0
"Core_Trimmed_L1",0
"PKR_USD_Avg_YoY_L3",0
"GovExp_YoY_L3",0
"GovRev_YoY_L3",0
"GovBorrow_YoY_L3",0
"FDI_Total_YoY_L3",0
"TP_Inflation_US_YoY_L3",0
"TP_Inflation_CN_YoY_L3",0.032982977194042
"TP_Inflation_UK_YoY_L3",0
"GDP_Q_YoY_L3",0
"LSM_QIM_YoY_L3",0
"Core_NFNE_L3",0
"Core_Trimmed_L3",0
"PKR_USD_Avg_YoY_L6",0
"GovExp_YoY_L6",0
"GovRev_YoY_L6",0
"GovBorrow_YoY_L6",0.470833318403707
"FDI_Total_YoY_L6",-0.00195679962542289
"TP_Inflation_US_YoY_L6",0
"TP_Inflation_CN_YoY_L6",0.159051189926742
"TP_Inflation_UK_YoY_L6",0
"GDP_Q_YoY_L6",0
"LSM_QIM_YoY_L6",-0.0770377911729768
"Core_NFNE_L6",0
"Core_Trimmed_L6",0
"PKR_USD_Avg_YoY_L12",0
"GovExp_YoY_L12",0
"GovRev_YoY_L12",0
"GovBorrow_YoY_L12",0
"FDI_Total_YoY_L12",0.0308000109750054
"TP_Inflation_US_YoY_L12",0
"TP_Inflation_CN_YoY_L12",0
"TP_Inflation_UK_YoY_L12",0
"GDP_Q_YoY_L12",0
"LSM_QIM_YoY_L12",0
"Core_NFNE_L12",0
"Core_Trimmed_L12",0
"Core_NFNE",0
"Core_Trimmed",7.79890361132431
