split_ratio,train_size,test_size,train_start_date,train_end_date,test_start_date,test_end_date,model,rmse,mae,mape,r_squared
0.7,606,261,2018-10-01,2023-02-01,2023-02-01,2025-04-01,arima,17.746109820129156,13.380500934105743,212.19589463636405,-2.613364547925315
0.7,606,261,2018-10-01,2023-02-01,2023-02-01,2025-04-01,lasso,13.58257573636865,12.752797727749345,104.05483173401267,-1.1167507402734547
0.7,606,261,2018-10-01,2023-02-01,2023-02-01,2025-04-01,ridge,12.156655290658167,11.38599312695347,98.19936803250529,-0.6956400040764052
0.7,606,261,2018-10-01,2023-02-01,2023-02-01,2025-04-01,elastic_net,13.57236894999281,12.743106291013156,104.0074521013419,-1.1135706210844778
0.75,650,217,2018-10-01,2023-08-01,2023-08-01,2025-04-01,arima,10.637948331349463,7.274193548387096,148.25398847597276,-0.29232163946611034
0.75,650,217,2018-10-01,2023-08-01,2023-08-01,2025-04-01,lasso,7.575417318739469,6.479616806760798,101.31032097347233,0.34465802108554766
0.75,650,217,2018-10-01,2023-08-01,2023-08-01,2025-04-01,ridge,7.71577693855246,6.704945629759422,101.526373333287,0.32014829532191
0.75,650,217,2018-10-01,2023-08-01,2023-08-01,2025-04-01,elastic_net,7.578180698740809,6.483744202854863,101.32414384373433,0.3441798192531046
0.8,693,174,2018-10-01,2023-11-01,2023-11-01,2025-04-01,arima,12.93365253190652,8.694827586206896,195.7416376690784,-0.7973107380174564
0.8,693,174,2018-10-01,2023-11-01,2023-11-01,2025-04-01,lasso,7.366679093463515,5.39965075770188,118.14015136000044,0.41692517093838355
0.8,693,174,2018-10-01,2023-11-01,2023-11-01,2025-04-01,ridge,7.534413555045932,5.781573140900813,119.62532202966038,0.3900704153304304
0.8,693,174,2018-10-01,2023-11-01,2023-11-01,2025-04-01,elastic_net,7.373820905359366,5.412448379667339,118.23887677239422,0.41579406986914813
0.85,736,131,2018-10-01,2023-11-01,2023-11-01,2025-04-01,arima,14.90596734852924,11.54885496183206,259.9927095757225,-1.4344326409195074
0.85,736,131,2018-10-01,2023-11-01,2023-11-01,2025-04-01,lasso,8.372753926542433,6.33838033828156,154.3985187866048,0.23190650617104314
0.85,736,131,2018-10-01,2023-11-01,2023-11-01,2025-04-01,ridge,8.49152256041928,6.516273781220974,156.07242357111633,0.20996093411393668
0.85,736,131,2018-10-01,2023-11-01,2023-11-01,2025-04-01,elastic_net,8.379943626368071,6.347379749411878,154.54178574691247,0.23058681309552898
0.9,780,87,2018-10-01,2024-02-01,2024-02-01,2025-04-01,arima,12.776518511995214,10.778160919540232,287.12644902579234,-2.4679645878700547
0.9,780,87,2018-10-01,2024-02-01,2024-02-01,2025-04-01,lasso,9.93705581828455,8.044250397026422,228.3353360340857,-1.0978047079733
0.9,780,87,2018-10-01,2024-02-01,2024-02-01,2025-04-01,ridge,10.033637374038257,8.056828805693991,231.02991188849086,-1.1387814035754307
0.9,780,87,2018-10-01,2024-02-01,2024-02-01,2025-04-01,elastic_net,9.94607125728003,8.051070066539804,228.5720314436751,-1.1016129203855165
